Date,DJI,MMM,GE,NKE,AXP,GS,PFE,AAPL,HD,PG,BA,INTC,TRV,CAT,IBM,UNH,CVX,JNJ,UTX,CSCO,JPM,VZ,KO,MCD,V,DD,MRK,WMT,XOM,MSFT,DIS,DWDP,WBA,DOW,RTX,AMGN,HON,CRM,AMZN
15-03-2023,31874.57031,79.78157806,71.13388824,115.608696,156.1569366,299.0322266,37.21461868,151.7958984,276.906189,136.6040955,198.2100067,27.72893906,161.3632965,211.2964935,115.6459732,454.8040771,144.587677,147.4249725,,46.46865082,122.541214,32.87626266,57.27678299,257.2881165,213.8600159,65.85245514,103.4486542,45.40471649,96.54167175,262.3323364,92.37140656,,30.1962986,46.67992783,92.22697449,224.0936584,182.0540314,182.101593,96.19999695
16-03-2023,32246.55078,80.89160156,72.88528442,118.0349503,157.0559082,301.8099976,37.29776764,154.6335907,275.7138062,137.6250153,203.1900024,29.45650673,166.9071808,212.7067108,116.9780426,461.2436218,145.0483093,147.1193085,,47.47266006,124.9201889,32.4504509,57.59196091,261.3743591,214.927475,67.19203186,103.1699219,45.14678955,95.9811554,272.9663696,93.55210114,,30.07925797,47.07756042,94.3923645,223.7788544,183.041153,186.4721832,100.0400009
17-03-2023,31861.98047,79.96787262,71.5539093,117.7805862,152.9421539,290.7467651,37.04831696,153.7902222,277.3100586,137.6635284,201.0500031,29.09537697,159.9482422,209.1082611,116.0305862,458.781189,143.2151031,145.543335,,47.5389595,120.2004623,32.63674545,57.32453918,258.1188965,214.8681946,65.57095337,100.0557861,45.5124588,94.85061646,276.1585083,92.47062683,,29.62910461,46.25455856,92.14997864,219.2187347,178.6862488,184.03302,98.94999695
20-03-2023,32244.58008,80.96922302,71.26068878,118.5730209,155.1114044,296.4843445,37.70428467,156.171463,278.146637,139.7824707,204.7700043,28.46096039,163.5149536,214.2627716,118.1412659,466.0708313,145.3209534,146.9855804,,48.24934387,121.4711609,33.20449448,57.87848663,261.5385742,215.6193542,66.91053009,101.7378006,46.00218964,97.33019257,269.0428467,93.48264313,,29.88118935,47.40120697,93.86304474,223.921936,183.7572632,184.4312439,97.70999908
21-03-2023,32560.59961,80.9536972,73.05171967,122.8874435,160.7983551,303.9077148,37.56570053,158.0367889,278.3100891,138.7711792,204.6999969,27.77773857,166.4613342,218.7462463,118.732254,469.1391602,149.7676392,146.9855804,,47.99361038,124.7291183,33.47949982,57.61106491,261.0266113,219.3752747,67.62883759,101.4398499,45.84547806,101.6908035,270.5746765,95.78448486,,30.1962986,48.14099121,94.32501221,222.2333679,184.9960022,187.8460846,100.6100006
22-03-2023,32030.10938,78.81904602,70.9991684,116.9098663,159.0297241,300.4498596,36.96517181,156.598114,271.7521057,138.6845093,196.1600037,27.45564842,161.4990082,213.912674,116.368309,464.6637268,146.7217102,144.2730103,,46.84751892,121.5093689,33.09804535,57.35319138,258.7661438,217.4874268,66.2019043,100.3441391,45.55163574,99.36323547,269.1021423,94.15732574,,29.25997925,47.51217651,93.06425476,219.2569122,181.1249847,185.6856689,98.69999695
23-03-2023,32105.25,78.39987183,72.58414459,118.3480148,159.0394745,301.5801086,37.12223434,157.6895294,273.0021667,138.4918671,197.8999939,28.33407784,158.8142853,213.4166718,115.7304077,459.1818237,145.2645416,144.349411,,47.10326385,121.1845245,33.15126419,57.22902298,260.4566956,220.0078583,66.35722351,100.180748,45.92056656,98.24221802,274.4092712,95.08004761,,29.10692787,47.76185226,92.39057922,222.3764801,180.8927155,186.6115723,98.70999908
24-03-2023,32237.5293,78.50855255,72.40981293,118.0936508,156.1276398,299.3961792,37.31624985,158.9992218,272.1463318,141.3139191,197.5299988,28.65616608,159.8319702,211.05336,117.5315094,465.1229858,146.7122955,145.8012085,,47.84205627,119.3405838,33.40852737,58.16501617,262.10849,218.4758148,66.59018707,100.7285995,46.29602814,98.35621643,277.2851868,93.34374237,,29.44004059,47.88206863,92.81403351,227.0796814,182.0927277,189.2200012,98.12999725
27-03-2023,32432.08008,78.78022766,73.94724274,115.2565002,159.3912811,305.1050415,37.1591835,157.0446014,270.463562,140.5722504,200.5700073,28.48048019,161.2276154,212.0161896,121.3025818,470.8980713,148.2070465,146.4220734,,47.87047958,122.7609634,33.75449753,58.59480286,264.5332031,219.236908,66.92024231,102.7758408,47.06980896,100.5127716,273.1442566,94.87168884,,29.65610886,48.08550644,93.26637268,225.868103,181.9282379,190.4146881,98.04000092
28-03-2023,32394.25,78.97428894,73.8125,115.3152084,155.5706787,305.0187988,36.94669342,156.4195099,270.0309143,140.9671631,204.9600067,28.58784294,160.7720947,214.1168976,121.330719,461.7908325,149.9368591,145.0084534,,47.72839737,123.1335754,33.71014404,58.66166687,266.4749451,217.7740631,67.54148102,101.4302368,46.88697433,101.7668076,272.0077515,94.07794952,,30.44838142,48.92699814,93.16049957,227.5089722,181.8604736,191.4500885,97.23999786
